reference,date,position,navArea,subreg,hostility,victim,description,
2001-181,2001-06-14,"9°56'00""N
76°15'00""E",VIII,63,THIEVES,MERCHANT VESSEL,BANGLADESH: AN UNIDENTIFIED TANKER WAS BOARDED 14 JUN AT 2320 LOCAL TIME BY PERSONS ARMED WITH KNIVES WHILE ANCHORED AT CHITTAGONG.  SHIP'S WATCHMAN WAS THREATENED BUT RAISED THE ALARM WHEREUPON THE THIEVES ESCAPED WITH SHIP'S EQUIPMENT.,
2001-185,2001-06-13,"1°27'00""N
106°16'00""E",XI,71,ATTACKERS,MIRI ENERGY,INDONESIA: THE MALAYSIAN-FLAG TANKER (MIRI ENERGY) WAS BOARDED 13 JUN AT 0500 LOCAL TIME BY ABOUT TEN PERSONS WHILE UNDERWAY IN POSITION 01-27N 106-16E OFF PULAU PENGIBU ON A BALLAST VOYAGE SANDAKAN TO PORT DICKSON.  SHIP WAS BOARDED VIA THE STERN AND ONE OF TWO CREW ON DUTY WAS HIT ON THE HEAD AND TIED UP.  BOARDERS FLED EMPTY HANDED WHEN OTHER CREW APPEARED; SHIP DIVERTED TO SINGAPORE TO PUT INJURED CREW MEMBER ASHORE.,
2001-179,2001-06-12,"13°05'00""N
80°21'00""E",VIII,63,THIEVES,MERCHANT VESSEL,"INDIA: AN UNIDENTIFIED CONTAINER SHIP WAS BOARDED 12 JUN AT 0330 LOCAL TIME IN THE OUTER ROADS, CHENNAI VIA THE STERN SIX PERSONS ARMED WITH LONG KNIVES.  THE INTRUDERS THREATENED THE WATCHMAN AND STOLE SHIP'S STORES BEFORE JUMPING OVERBOARD TO ESCAPE IN THEIR BOAT.",
2001-178,2001-06-12,"6°45'00""S
39°20'00""E",VIII,61,THIEVES,MERCHANT VESSEL,"TANZANIA: AN UNIDENTIFIED BULK CARRIER WAS BOARDED 12 JUN AT 0220 LOCAL TIME WHILE ANCHORED AT DAR ES SALAAM, BY ABOUT 20 PERSONS ARMED WITH KNIVES.  PIRACY WATCH SPOTTED THEM LOWERING MOORING LINE TO A WAITING BOAT AND RAISED THE ALARM.  RESPONDING CREW WERE THREATENED WITH KNIVES BEFORE THE THIEVES JUMPED OVERBOARD AND ESCAPED WITH A PORTION OF THE MOORING LINE.",
2001-174,2001-06-11,"14°14'48""N
42°43'18""E",IX,62,SPEEDBOATS,MERCHANT VESSEL,"RED SEA: AN UNIDENTIFIED BULK CARRIER REPORTS APPROACH BY THREE SPEEDBOATS WITH ABOUT 10 PERSONS EACH 11 JUN AT 1130 UTC WHILE UNDERWAY IN ABU ALI CHANNEL, 14-14.8N 042-43.3E.  MASTER TOOK EVASIVE ACTION AND THERE WAS NO BOARDING.",
2001-172,2001-06-10,"1°08'00""N
85°09'00""E",VIII,63,BOAT,MERCHANT VESSEL,"INDIAN OCEAN: An unidentified tanker reported being followed 10 jun at 0443 utc for a period of about 55 minutes while underway in position 01-08N 085-09E.  boat with 6 or 7 persons aboard, light green in color and 12 to 15 meters in length was not challenged and turned away on its own.",
2001-171,2001-06-10,"15°60'00""N
53°00'00""E",IX,62,BOARDERS,MOHYEDDIN-M,"INDIAN OCEAN-YEMEN: THE SYRIAN-FLAG LIVESTOCK CARRIER (MOHYEDDIN-M) WAS REPORTED BOARDED PRIOR TO 10 JUN WHILE IN YEMENI WATERS NEAR OMANI BOARDER BY PERSONS WHO DEMANDED MONEY TO ALLOW CONTINUED PASSAGE OF THE VESSEL.  SHIP CALLED AT OMAN ENROUTE MUMBAI, INDIA AND THERE IS NO INFORMATION IF EXTORTION MONEY WAS PAID.",
2001-176,2001-06-07,"5°35'18""N
123°04'42""E",XI,92,BOARDERS,MERCHANT VESSEL,Philippines: An unidentified cargo ship reports attempt to board 7 Jun at 0243 utc while underway in Celebes sea in position 05-35.3n 123-04.7e.  The boat with armed persons aboard followed the ship for 30 minutes before breaking off contact.  There is considerable risk of hostage taking and kidnap in the s. Philippines where there are also intensified patrols looking for Abu Sayyaf militants.  It is impossible from this Report to accurately characterize this incident which apparently happened well to seaward of usual Muslim extremist activity,
2001-175,2001-06-07,"1°08'00""S
85°25'00""E",VIII,61,SPEEDBOAT,MERCHANT VESSEL,"STRAIT OF MALACCA: AN UNIDENTIFIED LPG CARRIER REPORTS APPROACH BY DARK GRAY SPEEDBOAT OPERATING AT 25 KNOTS 7 JUN AT 1215 UTC WHILE UNDERWAY IN POSITION 01-08S 085-25E.  BOAT ""HOVERED"" AROUND SHIP FOR FIFTEEN MINUTES AND LEFT WHEN SHIP FLASHED SEARCHLIGHT.  INCIDENT REPORTED TO JOHORE VTS AND VIA VHF BROADCAST.",
2001-173,2001-06-06,"22°28'00""N
89°35'00""E",VIII,63,ROBBERS,MERCHANT VESSEL,"BANGLADESH: AN UNIDENTIFIED CARGO SHIP ANCHORED IN THE PUSSUR RIVER, MONGLA WAS ROBBED OF FOUR ZINC ANODES FROM THE RUDDER POST 6 JUN DURING THE EARLY MORNING HOURS.",
2001-170,2001-06-04,"6°45'00""S
39°20'00""E",VIII,61,BOARDERS,MERCHANT VESSEL,TANZANIA: AN UNIDENTIFIED CARGO SHIP REPORTS ATTEMPTED BOARDING 4 JUN AT 0100 LOCAL TIME BY A GROUP OF 20 TO 30 PERSONS OPERATING FROM EACH OF TWO BOATS SPOTTED AT THE VESSEL'S ANCHOR CHAIN WHILE AT ANCHOR DAR ES SALAAM.  ALARM SOUNDED AND CREW MUSTERED WHEREUPON THE BOATS WITHDREW.,
2001-169,2001-06-01,"3°47'00""N
98°42'00""E",XI,71,THIEVES,MERCHANT VESSEL,INDONESIA-SUMATRA: AN UNIDENTIFIED PRODUCT TANKER WAS BOARDED 1 JUN AT 1920 LOCAL TIME WHILE MOORED AT BELAWAN.  THIEVES BROKE INTO THE FORECASTLE STORE AND STOLE SHIP'S STORES BEFORE ESCAPING.,
2001-168,2001-05-31,"22°35'00""N
89°32'00""E",VIII,63,THIEVES,MERCHANT VESSEL,"BANGLADESH: AN UNIDENTIFIED CEMENT CARRIER WAS BOARDED 31 MAY AT 2000 LOCAL TIME WHILE AT JETTY 5, MONGLA.  WATCHMAN OBSERVED TEN MEN ARMED WITH KNIVES LOWERING MOORING LINE INTO A SMALL BOAT.  HE WAS ASSAULTED WHEN HE CONFRONTED THE THIEVES WHEREUPON HE RETURNED TO THE ACCOMMODATION AND SOUNDED THE SHIP'S ALARM.  THE THIEVES JUMPED OVERBOARD AND ESCAPED.  COAST GUARD INFORMED.",
2001-167,2001-05-31,"13°05'00""N
80°21'18""E",VIII,63,INTRUDERS,MERCHANT VESSEL,INDIA: AN UNIDENTIFIED BULK CARRIER WAS BOARDED 31 MAY AT 0400 LOCAL TIME WHILE AT CHENNAI PORT.  FIVE PERSONS WERE OBSERVED ON DECK ARMED WITH KNIVES ATTEMPTING TO REMOVE A MOORING LINE.  ALARM WAS RAISED AND THE INTRUDERS JUMPED OVERBOARD TO ESCAPE IN THEIR BOAT.,
2001-166,2001-05-31,"14°30'00""N
17°30'00""W",II,51,THIEVES,SEA REGENT,"SENEGAL: THE FORMER CRUISE SHIP (SEA REGENT) (POSSIBLY (REGENT SEA) UNDER TOW TO INDIA WHERE IT WAS TO BE USED AS A HOTEL OR ACCOMMODATION SHIP, WAS RANSACKED BY LOCAL INHABITANTS WHILE OFF DAKAR ACCORDING TO A 31 MAY PRESS REPORT.  THE THIEVES, OPERATING FROM AS MANY AS 12 MOTORIZED PIROUGUES, TOOK COMPUTERS, FURNISHINGS, AND OTHER ELECTRONIC GEAR AND SHUTTLED THEIR LOOT ASHORE TO AT LEAST THREE FISHING VILLAGES BEFORE CREW MEMBERS REALIZED WHAT WAS HAPPENING.  SENEGALESE POLICE REPORTEDLY MADE UP TO FORTY ARRESTS AND RETURNED SOME OF THE STOLEN ITEMS TO THE SHIP.",
2001-159,2001-05-29,"6°01'00""S
106°53'00""E",XI,71,BOARDERS,MERCHANT VESSEL,INDONESIA-JAVA: AN UNIDENTIFIED CARGO SHIP WAS BOARDED 29 MAY AT 0600 LOCAL TIME AT TANJUNG PRIOK ANCHORAGE.  THE THREE INTRUDERS JUMPED OVERBOARD AND ESCAPED WHEN ALARM RAISED.,
2001-163,2001-05-27,"10°15'00""N
107°03'00""E",XI,93,THIEVES,MERCHANT VESSEL,VIETNAM: AN UNIDENTIFIED TANKER WAS BOARDED 27 MAY AT 1705 LOCAL TIME AT VUNG TAU ANCHORAGE.  ANTI-PIRACY WATCH SPOTTED TWO PERSONS LOWERING MOORING LINE INTO A SPEEDBOAT.  ALARM RAISED AND THIEVES ESCAPED IN THE BOAT.,
2001-160,2001-05-26,"6°03'00""S
106°54'00""E",XI,71,BOARDERS,MERCHANT VESSEL,"INDONESIA-JAVA: AN UNIDENTIFIED ROLL-ON, ROLL-OFF SHIP WAS BOARDED 26 MAY AT 0530 LOCAL TIME WHILE ANCHORED AT TANJUNG PRIOK.  FIVE PERSONS BOARDED VIA THE STERN AND WHEN CHALLENGED STRUCK ONE CREW MEMBER OVER THE HEAD, CAUSING HIM TO BLEED.",
2001-157,2001-05-26,"32°34'00""N
29°50'00""E",III,56,INTRUDERS,MERCHANT VESSEL,"EGYPT: An unidentified container ship was boarded 26 may at 1625 local time while at outer anchorage, suez. Unauthorized person found at forward stores while a second attempted to board from a launch. Two other persons found in accommodation. alarm raised and the four escaped after threatening crew.",
2001-165,2001-05-24,"25°38'00""N
122°39'00""E",XI,94,SPEEDBOATS,MERCHANT VESSEL,"EAST CHINA SEA: AN UNIDENTIFIED TANKER WAS REPORTEDLY CIRCLED 24 MAY AT 1400 UTC BY FOUR HIGH-SPEED BOATS WHILE UNDERWAY IN POSITION 25-38N 122-39E.  CREW MUSTERED, TURNED ON DECK LIGHTS AND ACTIVATED FIRE HOSES, THE BOATS WITHDREW AND REGROUPED AT STERN.  CREW SHONE LIGHTS ON BOATS AND THE MOVED AWAY.",
2001-164,2001-05-23,"10°15'00""N
107°03'00""E",XI,93,THIEVES,MERCHANT VESSEL,VIETNAM: AN UNIDENTIFIED CARGO SHIP WAS BOARDED 23 MAY AT 2030 LOCAL TIME OVER THE BOW WHILE ANCHORED AT VUNG TAU.  THE THIEVES BROKE OPEN THE FORECASTLE STORE STOLE SHIP'S STORES.  ALARM RAISED AND THIEVES ESCAPED IN UNLIT MOTORBOAT.,
2001-161,2001-05-23,"3°47'00""S
98°42'00""E",XI,71,THIEVES,MERCHANT VESSEL,INDONESIA-SUMATRA: AN UNIDENTIFIED CHEMICAL TANKER WAS BOARDED 23 MAY AT 0345 LOCAL TIME AT BELAWAN ANCHORAGE.  FIVE PERSONS BOARDED VIA THE FORECASTLE AND JUMPED OVERBOARD AND ESCAPED WITH A BREATHING APPARATUS WHEN THE ALARM WAS SOUNDED.,
2001-162,2001-05-22,"1°28'00""S
116°48'00""E",XI,72,THIEVES,MERCHANT VESSEL,"Indonesia-Balikpapan: An unidentified bulk carrier was boarded 22 May at Lawi Lawi anchorage, Balikpapan.  A life raft and three mooring lines were stolen.",
2001-158,2001-05-22,"30°26'00""N
49°06'00""E",IX,62,THIEVES,MERCHANT VESSEL,"IRAN: AN UNIDENTIFIED CHEMICAL TANKER WAS BOARDED 22 MAY AT BANDAR KHOMEINI INNER ANCHORAGE VIA HAWSE PIPE, AND SHIP'S STORES STOLEN. DESPITE PROBABLE OCCURRENCE OF MANY SUCH EVENTS, THIS IS RARE EXAMPLE OF ONE ACTUALLY BEING REPORTED.",
2001-156,2001-05-22,"6°27'00""N
3°23'00""E",II,57,BOARDERS,MERCHANT VESSEL,NIGERIA: AN UNIDENTIFIED BULK CARRIER WAS BOARDED 22 MAY AT 0130 WHILE AT LAGOS ANCHORAGE.  FOUR ARMED PERSONS ATTEMPTED TO BREAK INTO THE ROPE STORE BUT FLED WHEN THEY WERE SPOTTED AND ALARMS WAS RAISED.,
2001-155,2001-05-17,"1°09'00""S
107°33'00""E",XI,71,STALKER,MERCHANT VESSEL,INDONESIA-JAVA SEA: AN UNIDENTIFIED GAS CARRIER REPORTS BEING INTERCEPTED 17 MAY AT 0200 LOCAL TIME WHILE UNDERWAY IN THE NORTH JAVA SEA IN POSITION 01-09S 107-33E BETWEEN SUMATRA AND KALIMANTAN.  SHIP ALTERED COURSE BUT BOAT MATCHED MOVEMENTS UNTIL ILLUMINATED BY ALDIS LAMP WHEREUPON IT TURNED AWAY.,
2001-153,2001-05-16,"12°60'00""N
48°00'00""E",IX,62,ROBBERS,GULF STAR,"YEMEN: THE 22,572-TON, BAHAMAS FLAG CONTAINER SHIP (GULF STAR) WAS BOARDED AND ROBBED 16 MAY BETWEEN 0030 AND 0600 LOCAL TIME BY PERSONS WHO ENTERED RADIO ROOM AND STOLE A LAPTOP COMPUTER, TWO PRINTERS AND A FAX MACHINE.",
2001-152,2001-05-16,"30°30'00""N
9°40'00""W",II,51,INTRUDERS,MERCHANT VESSEL,"MOROCCO: AN UNIDENTIFIED CARGO SHIP WAS BOARDED 16 MAY AT 0300 LOCAL TIME AT AGADIR BY EIGHT PERSONS ARMED WITH KNIVES AND STICKS.  THE INTRUDERS THREATENED THE WATCHMEN BUT CREW ARRIVED AND CAPTURED FOUR PERSONS, DETAINING THEM UNTIL POLICE ARRIVED WITHIN FIFTEEN MINUTES.",
2001-144,2001-05-16,"14°48'00""N
43°12'00""E",IX,62,YEMENI GOVERNMENT,DELOS CARRIER,"YEMEN: THE 4,878-TON, ST. VINCENT-FLAG VEHICLE CARRIER (DELOS CARRIER) WAS ABANDONED ABOUT 16 MAY BY ITS OFFICERS AND CREW AFTER THE SALVOR CONTRACTED TO FREE THE VESSEL AGROUND OFF YEMEN NEAR HODEIDAH LEFT THE SCENE FOLLOWING DEMANDS FOR PAYMENTS AND INDEMNITIES FROM THE YEMENI GOVERNMENT.  IN THE PAST YEAR SEVERAL WRECKED SHIPS HAVE BEEN COMPLETELY RANSACKED BY LOCALS, INCLUDING A CRUISE SHIP UNDER SALVAGE AT THE TIME.  IT IS NOT KNOWN IF THE YEMENI DEMANDS WERE PURELY EXTORTION OR IF LOCAL OFFICIALS SOUGHT TO CLEAR THE WAY FOR OTHER LOCALS TO STRIP THE SHIP OF USABLE ITEMS, INCLUDING THE CARGO OF VEHICLES BOUND FROM UKRAINE TO DUBAI.",
2001-154,2001-05-14,"9°56'00""N
76°15'00""E",VIII,63,BOARDER,MERCHANT VESSEL,"BANGLADESH: A SINGLE PERSON ARMED WITH A KNIFE BOARDED AN UNIDENTIFIED CARGO SHIP AT CHITTAGONG ANCHORAGE 14 MAY AT 2100 LOCAL TIME USING A GRAPPLING HOOK AT THE FORECASTLE.  WHEN SPOTTED BY ANTI-PIRACY WATCH THE MAN JUMPED OVERBOARD AND ESCAPED IN AN UNLIT MOTORBOAT, TAKING A MOORING LINE.",
2001-143,2001-05-14,"9°56'00""N
76°15'00""E",VIII,63,THIEF,MERCHANT VESSEL,BANGLADESH: AN UNIDENTIFIED CARGO SHIP WAS BOARDED 14 MAY AT 2100 LOCAL TIME AT CHITTAGONG ANCHORAGE BY A SINGLE PERSON ARMED WITH A KNIFE.  WHEN SPOTTED BY WATCH PERSON JUMPED OVERBOARD AND ESCAPED IN UNLIT MOTORBOAT WITH A MOORING LINE.,
2001-141,2001-05-14,"14°35'00""N
17°30'00""W",II,51,PIRATES,USNS LITTLEHALES,SENEGAL: THE U.S. FLAG SURVEY SHIP (USNS LITTLEHALES) WAS BOARDED AND ROBBED OF SIX MOORING LINES 14 MAY ABOUT 0530 LOCAL TIME WHILE UNDERWAY FIVE MILES SOUTH OF DAKAR PORT.  ROVING DECK WATCH NOTICED SMALL UNLIT BOAT ASTERN CONTAINING EIGHT PERSONS WHICH SPED OFF WHEN SHOUTED AT.  LOSS OF LINES NOTED SUBSEQUENTLY.,
2001-147,2001-05-12,"6°07'00""S
125°28'00""E",XI,73,BOARDER,MERCHANT VESSEL,INDONESIA-BANDA SEA: AN UNIDENTIFIED BULK CARRIER WAS BOARDED 12 MAY AT 0100 LOCAL TIME WHILE UNDERWAY IN POSITION 06-07S 125-28E.  WATCH SPOTTED ONE PERSON BOARD FROM STARBOARD QUARTER AND ALERTED OTHER CREW.  INTRUDER JUMPED OVERBOARD AND ESCAPED.,
2001-146,2001-05-12,"3°47'00""N
98°42'00""E",XI,71,ROBBERS,MERCHANT VESSEL,INDONESIA-SUMATERA: AN UNIDENTIFIED CHEMICAL TANKER WAS BOARDED 12 MAY AT BELAWAN ANCHORAGE AT 0430 LOCAL TIME BY FOUR ARMED PERSONS FROM A SPEEDBOAT.  DUTY SEAMAN HELD AT KNIFEPOINT AND SHIP'S STORES STOLEN.,
2001-150,2001-05-11,"0°30'00""S
80°60'00""W",XII,22,FISHING BOATS,MERCHANT VESSEL,"Ecuador: An unidentified container ship was approached 11 may at 1940 local time by two boats disguised as fishing boats.  The container ship was about 20 miles off the coast about 98 miles from Guayaquil on a voyage from Buenaventura.  After executing evasive maneuvers and illuminating ship's decks and the pursuing boats with searchlights, the container ship turned out to sea and pursuit ceased after about twenty minutes.",
2001-142,2001-05-11,"6°27'00""N
3°23'00""E",II,57,THIEVES,MERCHANT VESSEL,NIGERIA: AN UNIDENTIFIED BULK CARRIER WAS BOARDED 11 MAY AT 0155 UTC AT LAGOS ANCHORAGE AND ONE CREW MEMBER TAKEN HOSTAGE AND THEN THROWN OVERBOARD CATCHING HIMSELF ON A RAIL.  ALARM RAISED AND THIEVES ESCAPED WITH SHIP'S STORES.  LAGOS PORT CONTROL REPORTEDLY TOOK NO ACTION AFTER REPORT WAS MADE.,
2001-148,2001-05-09,"6°53'00""S
110°19'00""E",XI,72,THIEVES,MERCHANT VESSEL,Indonesia-Java: An unidentified bulk carrier was twice boarded 9 May at 0330 and 1030 local time while at Semarang anchorage.  A mast house locker was broken into and ship's stores and equipment stolen.,
2001-145,2001-05-09,"5°25'00""N
100°20'00""E",XI,71,THIEVES,MERCHANT VESSEL,MALAYSIA: AN UNIDENTIFIED CONTAINER SHIP WAS BOARDED 9 MAY AT 0345 LOCAL TIME WHILE ANCHORED AT PENANG INNER ANCHORAGE BY FIVE PERSONS ARMED WITH LONG KNIVES AND CROWBARS.  ALARM WAS SOUNDED AND THIEVES JUMPED OVERBOARD AFTER WHICH CREW DISCOVERED NINE CONTAINERS HAD BEEN PRIED OPEN WITH THE LOSS OF SOME CONTENTS AND SHIP'S STORES.,
2001-140,2001-05-08,"8°06'00""S
34°53'00""W",V,24,ROBBERS,MERCHANT VESSEL,"BRAZIL: An unidentified bulk carrier was boarded 8 May at 0155 local time while berthed at sugar terminal, by ten persons armed with pistols and machine guns. Crew members were taken hostage or tied up while robbers broke into cabins and stole cash, stores and crew valuables. Third officer freed himself, sounded alarm and sent alert message. Police investigated.",
2001-151,2001-05-06,"2°13'00""S
79°54'00""W",XII,22,ROBBERS,MERCHANT VESSEL,"Ecuador: An unidentified container ship was boarded 6 May at 2230 local time while anchored at Guayaquil (reported 18 May).  Ten persons boarded from a boat alongside and shots were fired when crew tried to stop boarding.  General alarm sounded and pilot station informed via channel 12.  Vessel was advised coast guard would be on scene in twenty minutes.  The intruders opened and pilfered 10 containers and loaded contents into two boats, leaving the vessel after about 45 minutes.  No coast guard response occurred.  No injuries reported.",
2001-149,2001-05-05,"6°12'00""N
102°00'00""E",XI,93,ATTACKERS,FISHING VESSEL,"THAILAND: AN UNIDENTIFIED MALAYSIAN FISHING BOAT WAS ATTACKED 5 MAY (REPORTED  15 MAY) AT ABOUT 1700 LOCAL TIME WHILE FISHING ABOUT 12 MILES OFF TAKBAI, THAILAND.  A SECOND BOAT APPROACHED THE FIRST AND OPENED FIRE KILLING OR WOUNDING THE MASTER WHO FELL INTO THE SEA AND VANISHED, WHEREUPON THE REMAINING CREW JUMPED OVERBOARD AND WERE EVENTUALLY RESCUED.  THE MALAYSIAN TRAWLER WAS REPORTEDLY SUNK AFTER HAVING BEEN LOOTED.  ON 8 MAY THAI AUTHORITIES ARRESTED THREE SUSPECTS IN THE CASE.  THIS IS ONE OF MANY CASES THAT USUALLY GO UNREPORTED EACH YEAR INVOLVING DEPREDATIONS AGAINST LOCAL TRADERS AND FISHERMEN AROUND THE WORLD.",
2001-139,2001-05-05,"16°02'00""N
113°42'00""E",XI,93,SPEEDBOATS,MERCHANT VESSEL,SOUTH CHINA SEA: AN UNIDENTIFIED BULK CARRIER WAS REPORTEDLY SURROUNDED 5 MAY AT 2315 LOCAL TIME BY FIVE SPEEDBOATS WHOSE OCCUPANTS ATTEMPTED TO BOARD WHILE THE BULK CARRIER WAS UNDERWAY IN POSITION 16-02N 113-42E.  CREW MUSTERED AND ACTIVATED FIRE HOSES AFTER WHICH THE BOATS ABORTED THE ATTEMPTED BOARDING.,
2001-137,2001-04-30,"5°10'00""N
97°10'00""E",XI,71,ATTACKERS,MERCHANT VESSEL,INDONESIA: ON OR ABOUT 30 APR AN OIL TANKER OWNED BY THE STATE OIL MONOPOLY PERTAMINA WAS REPORTEDLY THE TARGET OF A ROCKET-PROPELLED GRENADE ATTACK WHILE AT ITS BERTH AT LHOKSEUMAWE.  THE ATTACK WAS ALLEGEDLY LAUNCHED BY REBELS OF THE FREE ACEH MOVEMENT.  THE GRENADE MISSED AND NO DAMAGE WAS REPORTED.  (INCIDENT REPORTED 9 MAY).,
2001-136,2001-04-27,"14°52'00""N
112°58'00""E",XI,93,BOARDERS,MERCHANT VESSEL,SOUTH CHINA SEA: AN UNIDENTIFIED BULK CARRIER WAS SUBJECT TO ATTEMPTED BOARDING 27 APR AT 2115 LOCAL TIME WHILE UNDERWAY IN POSITION 14-52N 112-58E.,
2001-135,2001-04-27,"20°59'00""N
107°04'00""E",XI,93,THIEVES,MERCHANT VESSEL,VIETNAM: AN UNIDENTIFIED TANKER WAS BOARDED 27 APR AT BETWEEN 0200 AND 0400 LOCAL TIME WHILE AT HONGAY ANCHORAGE.  SHIP'S STORES STOLEN.,
2001-124,2001-04-26,"22°00'00""N
88°04'00""E",VIII,63,PIRATES,JUBILEE,"INDIA: PANAMANIAN-FLAG CARGO SHIP (JUBILEE) (NFI) REPORTED INTERCEPTED 26 APR BY TWO BOATS WHICH BLOCKED ITS MOVE ALONG NAVIGATION CHANNEL WHILE BEING PILOTED FROM HALDIA TO KOLKATA.  PILOT AND MASTER WERE DRAGGED FORM SHIP BY MEMBERS OF A GANG OF 200 WHO FORCED THE SHIP TO RAICHAK AND DEMANDED THAT THE LOG CARGO BE DISCHARGED THERE.  THE ATTACKERS ALSO DEMANDED WORK, CLAIMING THEY WERE UNEMPLOYED LABORERS FROM DIAMOND HARBOR.  CAPTAIN AND PILOT RESCUED BY LOCAL POLICE WHO SAID THIS IS THE FIRST FOREIGN VESSEL FORCED TO ANCHOR BY THE ARMED MEN WHO OTHER SOURCES SAID HAD BEEN EXTORTING MONEY FROM SHIPPERS AND AGENTS REGULARLY.",
2001-134,2001-04-25,"7°58'00""S
123°45'00""E",XI,73,BOARDERS,MERCHANT VESSEL,INDONESIA-BANDA SEA: AN UNIDENTIFIED BULK CARRIER REPORTS BEING APPROACHED 25 APR AT 0430 UTC BY SUSPICIOUS CRAFT WHILE UNDERWAY IN 07-58S 123-45E.  CRAFT APPROACHED FROM PORT BOW AND TRIED TO COME ALONGSIDE.  SHIP'S ALARM RAISED AND MATE MANEUVERED AWAY FROM CRAFT.,
2001-131,2001-04-24,"5°38'00""N
0°01'00""E",II,57,ROBBERS,MERCHANT VESSEL,GHANA: AN UNIDENTIFIED CARGO SHIP WAS BOARDED 24 APR AT 0145 LOCAL TIME WHILE ANCHORED IN TEMA OUTER ROADS.  TWO CREW CHECKING THE ANCHOR CHAIN WERE ASSAULTED AND HELD HOSTAGE BY TWO PERSONS WHILE THREE OTHERS STOLE SHIP'S STORES AND CREW EFFECTS.  NO INJURIES REPORTED.,
2001-133,2001-04-22,"5°49'00""N
118°07'00""E",XI,72,THIEVES,MERCHANT VESSEL,"MALAYSIA-SABAH: AN UNIDENTIFIED CHEMICAL TANKER WAS BOARDED 22 APR AT 0405 LOCAL TIME WHILE AT ANCHOR AT SANDAKAN, SABAH.  EIGHT PERSON BOARDED USING GRAPPLING HOOKS AND STOLE SHIP'S STORES BEFORE ESCAPING.",
2001-130,2001-04-20,"18°25'00""N
70°01'00""W",IV,25,THIEVES,MERCHANT VESSEL,DOMINICAN REPUBLIC: AN UNIDENTIFIED TANKER WAS BOARDED 20 APR AT 2200 LOCAL TIME WHILE BERTHED AT RIO HAINA.  FOUR PERSONS ARMED WITH KNIVES TRIED TO DISMANTLE A LIFEBOAT ENGINE AND JUMPED OVERBOARD ESCAPING WITH SAFETY EQUIPMENT WHEN SPOTTED.  MARINE POLICE ARRESTED ONE OF THE PERPETRATORS.,
2001-128,2001-04-20,"25°51'00""N
120°45'00""E",XI,94,SPEEDBOAT,MERCHANT VESSEL,TAIWAN STRAIT: AN UNIDENTIFIED BULK CARRIER REPORTS APPROACH BY THREE MEN IN A FAST BOAT 20 APR AT 11 UTC WHILE UNDERWAY IN POSITION 25-51N 120-45E.  ALERT CREW REPORTEDLY FOILED THE ATTEMPTED BOARDING VIA THE STERN.,
2001-125,2001-04-20,"13°05'00""N
80°21'00""E",VIII,63,THIEVES,MERCHANT VESSEL,INDIA: AN UNIDENTIFIED CONTAINER SHIP WAS BOARDED 20 APR AT 0335 LOCAL TIME AT CHENNAI ANCHORAGE.  FIVE PERSONS FROM UNLIT BOAT BROKE OPEN FORE PEAK STORE AND STOLE SHIP'S STORES.  WATCH RAISED ALARM AND INTRUDERS JUMPED OVERBOARD AND ESCAPED.,
2001-138,2001-04-18,"5°35'00""N
96°49'00""E",XI,71,SPEEDBOATS,MERCHANT VESSEL,INDONESIA: AN UNIDENTIFIED CONTAINER SHIP REPORTS BEING CHASED 18 APR AT 0445 LOCAL TIME IN POSITION 05-35N 096-49E BY TWO HIGH SPEED UNLIT BOATS WHICH WITHDREW WHEN ILLUMINATED BY SEARCHLIGHT.,
2001-127,2001-04-18,"5°35'00""S
96°49'00""E",XI,71,SPEEDBOATS,MERCHANT VESSEL,INDONESIA: AN UNIDENTIFIED CONTAINER SHIP REPORTS BEING CHASED 18 APR AT 0445 LOCAL TIME IN POSITION 05-35S 096-49E BY TWO HIGH SPEED UNLIT BOATS WHICH WITHDREW WHEN ILLUMINATED BY SEARCHLIGHT.,
2001-126,2001-04-17,"22°28'00""N
89°35'00""E",VIII,63,THIEVES,MERCHANT VESSEL,"BANGLADESH: AN UNIDENTIFIED BULK CARRIER WAS BOARDED 17 APR IN ""EARLY HOURS"" AT MOORING BUOY NO. 6, MONGLA.  THIEVES BROKE OPEN MANHOLE COVER INTO STEERING GEAR FLAT AND STOLE SEVEN MOORING LINES, ENGINE SPARES AND STORES.",
2001-129,2001-04-16,"24°34'00""N
119°04'00""E",XI,94,SPEEDBOAT,MERCHANT VESSEL,EAST CHINA SEA: AN UNIDENTIFIED CARGO SHIP REPORTEDLY NOTICED APPROACH BY A SPEED BOAT 16 APR AT 1935 LOCAL TIME WHILE UNDERWAY IN POSITION 24-34N 119-04E.  BOAT INCREASED SPEED AND CAME ALONGSIDE WHILE A PERSON ON BOARD THE BOAT THREW A GRAPPLING HOOK AND LINE OVER THE SHIP'S RAIL.  SHIP THEN INCREASED SPEED AND (REPORTEDLY) BROKE THE BOAT'S LINE AFTER WHICH BOAT ABANDONED ATTEMPT TO BOARD.,
2001-122,2001-04-16,"2°03'00""S
108°48'00""E",XI,71,SPEEDBOAT,MERCHANT VESSEL,INDONESIA: AN UNIDENTIFIED BULK CARRIER REPORTS SUSPICIOUS MANEUVERS BY A HIGH-SPEED BOAT 16 APR AT 0145 LOCAL TIME WHILE UNDERWAY IN POSITION 02-03S 108-48E.  THE SHIP'S CREW ALTERED COURSE AND FIRED FLARES WHEREUPON THE BOAT WITHDREW.,
